Country Name,Country Code,GNI per capita 2019 (USD)
Aruba,ABW,36960
Afghanistan,AFG,540
Angola,AGO,3050
Albania,ALB,5240
Andorra,AND,45887
Anguilla,AIA,21188
Arab World,ARB,6502.41520094062
United Arab Emirates,ARE,43470
Argentina,ARG,11200
Armenia,ARM,4680
American Samoa,ASM,
Antigua and Barbuda,ATG,16660
Australia,AUS,54910
Austria,AUT,51300
Azerbaijan,AZE,4480
Burundi,BDI,280
Belgium,BEL,47350
Benin,BEN,1250
Burkina Faso,BFA,790
Bangladesh,BGD,1940
Bulgaria,BGR,9410
Bahrain,BHR,22110
"Bahamas, The",BHS,31780
Bosnia and Herzegovina,BIH,6150
Belarus,BLR,6280
Belize,BLZ,4450
Bermuda,BMU,
Bolivia,BOL,3530
Brazil,BRA,9130
Barbados,BRB,17380
Brunei Darussalam,BRN,32230
Bhutan,BTN,
Botswana,BWA,7660
Central African Republic,CAF,520
Canada,CAN,46370
Central Europe and the Baltics,CEB,15796.7719132695
Switzerland,CHE,85500
Channel Islands,CHI,
Chile,CHL,15010
China,CHN,10410
Cote d'Ivoire,CIV,2290
Cameroon,CMR,1500
"Congo, Dem. Rep.",COD,520
"Congo, Rep.",COG,1750
Colombia,COL,6510
Comoros,COM,1420
Cabo Verde,CPV,3630
Costa Rica,CRI,11700
Caribbean small states,CSS,9804.7955334671
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,27710
Czech Republic,CZE,22000
Germany,DEU,48520
Djibouti,DJI,3540
Dominica,DMA,8090
Denmark,DNK,63240
Dominican Republic,DOM,8090
Algeria,DZA,3970
East Asia & Pacific (excluding high income),EAP,8299.22034153005
Early-demographic dividend,EAR,3645.52864299686
East Asia & Pacific,EAS,11725.7014662537
Europe & Central Asia (excluding high income),ECA,8014.25135158473
Europe & Central Asia,ECS,25163.2136218904
Ecuador,ECU,6080
"Egypt, Arab Rep.",EGY,2690
Euro area,EMU,39997.2994774606
Eritrea,ERI,
Spain,ESP,30390
Estonia,EST,23220
Ethiopia,ETH,850
European Union,EUU,35721.3314562948
Fragile and conflict affected situations,FCS,2028.41424922128
Finland,FIN,49580
Fiji,FJI,5860
France,FRA,42400
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,
Gabon,GAB,7210
United Kingdom,GBR,42370
Georgia,GEO,4740
Ghana,GHA,2220
Gibraltar,GIB,
Guinea,GIN,950
"Gambia, The",GMB,740
Guinea-Bissau,GNB,820
Equatorial Guinea,GNQ,6460
Greece,GRC,20320
Grenada,GRD,9980
Greenland,GRL,
Guatemala,GTM,4610
Guam,GUM,
Guyana,GUY,5180
High income,HIC,45307.2950996114
"Hong Kong SAR, China",HKG,50840
Honduras,HND,2390
Heavily indebted poor countries (HIPC),HPC,951.802207270682
Croatia,HRV,14910
Haiti,HTI,790
Hungary,HUN,16140
IBRD only,IBD,6584.25228216542
IDA & IBRD total,IBT,5245.93855872544
IDA total,IDA,1394.29642766284
IDA blend,IDB,1778.97558900599
Indonesia,IDN,4050
IDA only,IDX,1201.78314354814
Isle of Man,IMN,
India,IND,2130
Not classified,INX,
Ireland,IRL,62210
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,5740
Iceland,ISL,72850
Israel,ISR,43290
Italy,ITA,34460
Jamaica,JAM,5250
Jordan,JOR,4300
Japan,JPN,41690
Kazakhstan,KAZ,8810
Kenya,KEN,1750
Kyrgyz Republic,KGZ,1240
Cambodia,KHM,1480
Kiribati,KIR,3350
St. Kitts and Nevis,KNA,19030
"Korea, Rep.",KOR,33720
Kuwait,KWT,
Latin America & Caribbean (excluding high income),LAC,8355.00645549345
Lao PDR,LAO,2570
Lebanon,LBN,7600
Liberia,LBR,580
Libya,LBY,7640
St. Lucia,LCA,11020
Latin America & Caribbean,LCN,8775.33170282459
Least developed countries: UN classification,LDC,1088.82718530609
Low income,LIC,791.816942591641
Liechtenstein,LIE,
Sri Lanka,LKA,4020
Lower middle income,LMC,2189.43805400019
Low & middle income,LMY,5101.82358722112
Lesotho,LSO,1360
Late-demographic dividend,LTE,10024.0283950815
Lithuania,LTU,18990
Luxembourg,LUX,73910
Latvia,LVA,17730
"Macao SAR, China",MAC,
St. Martin (French part),MAF,
Morocco,MAR,3190
Monaco,MCO,
Moldova,MDA,
Madagascar,MDG,520
Maldives,MDV,9650
Middle East & North Africa,MEA,7993.63057494846
Mexico,MEX,9430
Marshall Islands,MHL,
Middle income,MIC,5598.17053524247
North Macedonia,MKD,5910
Mali,MLI,880
Malta,MLT,27290
Myanmar,MMR,1390
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,9010
Mongolia,MNG,3780
